COM,Comoros,African Region (AFRO),"273,275,277,315,481"
CPV,Cape Verde,African Region (AFRO),"7,1915,1921,2854"
CRI,Costa Rica,Region of the Americas (PAHO),2882
CUB,Cuba,Region of the Americas (PAHO),"218,2927"
CUW,Curaçao,,2883
CXR,Christmas Island,,
CYM,Cayman Islands,,
CYP,Cyprus,European Region (EURO),"101,108"
CZE,Czech Republic,European Region (EURO),
DEU,Germany,European Region (EURO),"458,459,483,486,505,1465,1477,1540,2071,2073,2074,2235,2726,2871,2920,2948"
DJI,Djibouti,African Region (AFRO),"244,246,1516"
DMA,Dominica,Region of the Americas (PAHO),2926
DNK,Denmark,European Region (EURO),"671,694,2077,2078,3406,3412,3416"
DOM,Dominican Republic,Region of the Americas (PAHO),2876
DZA,Algeria,African Region (AFRO),"2,1039,1048,1053,2656,3172"
ECU,Ecuador,Region of the Americas (PAHO),"21,280,839,2116,2868"
EGY,Egypt,Eastern Mediterranean Region (EMRO),"1491,1499,1500,1503,1506,1510,1512,1513,1520,1563,1569,1577,1585,1586,1596,1602,1603,1604,1606,1609,1610,1613,1615,1617,1618,1620,1621,1623,1637,1638,1640,1644,1688,1692,1693,1694,1720,1721,1722,1724,1728,1730,1731,1767,1779,1783,1788,1789,1800,1802,1803,1805,1808,1811,1812,1813,1814,1844,1857,1866,1872,1874,1876,1892,1900,1903,1907,1923,1925,1932,1939,1942,1943,1946,1950,1953,1958,1962,1995,2000,2004,2030,2032,2033,2034,2036,2039,2042,2044,2046,2049,2052,2054,2056,2067,2072,2097,2098,2103,2123,2127,2129,2130,2132,2137,2145,2146,2147,2154,2161,2164,2169,2225,2630,2833"
ERI,Eritrea,African Region (AFRO),
ESH,Western Sahara,,
ESP,Spain,European Region (EURO),"78,79,176,702,703,1823,1830,2064,2085,2086,2342,2532,2797,2814,3293"
EST,Estonia,European Region (EURO),
ETH,Ethiopia,African Region (AFRO),"403,502,507,531,538,623,629,635,640,652,654,660,679,687,762,793,801,1377,1551,1560,2113,2280,2325,3281,3377,3387"
FIN,Finland,European Region (EURO),
FJI,Fiji,Western Pacific Region (WPRO),"476,3333"
FLK,Falkland Islands (Malvinas),,
FRA,France,European Region (EURO),"305,480,495,508,510,547,664,672,695,701,1057,1058,1226,2062,2079,2080,2265,2268,2680,2906,3073,3108,3311,3378,3399"
FRO,Faroe Islands,,
FSM,Micronesia (Federated States of),Western Pacific Region (WPRO),"532,542"
GAB,Gabon,African Region (AFRO),"17,18,20,22,71,120,121,127,128,135,139,142,149,153,154,155,156,157,159,163,174,179,754,756,757,759,760,761,763,764,765,766,768,770,772,774,776,782,787,794,796,798,802,807,816,823,826,3393"
GBR,United Kingdom of Great Britain and Northern Ireland,European Region (EURO),"53,66,68,80,150,499,500,509,511,668,676,758,901,1630,1634,1828,2091,2092,2195,2205,2226,2228,2230,2534,2974,3166,3212,3413,3417,3431,3433"
GEO,Georgia,European Region (EURO),
GGY,Guernsey,,
GHA,Ghana,African Region (AFRO),"50,62,100,146,148,170,180,185,192,195,215,240,463,1072,2141,2159,3291"
GIB,Gibraltar,,
GIN,Guinea,African Region (AFRO),"452,607,726,729,896,1248,1369,1376,1386,1402,1427,1755,1778,1937,2287,2363,2364,2365,2366,2367,2370,2374,2377,2380,2384,2388,2392,2395,2399,2401,2404,2407,2408,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2480,2484,2488,2492,2496,2500,2504,2508,2512,2516,2520,2526,3414,3425,3432,3435,3438"
GLB,Global,,"1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1858,1859,1860,1861,1862,1863,1864,1865,1867,1868,1869,1870,1871,1873,1875,1877,1878,1879,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1893,1894,1897,1898,1901,1902,1904,1905,1906,1908,1910,1911,1912,1913,1914,1918,1919,1922,1924,1927,1928,1930,1933,1934,1935,1938,1940,1941,1944,1947,1949,1952,1955,1956,1961,1963,1965,1968,1972,1974,1975,1977,1978,1980,1981,1982,1984,1988,1989,1993,1996,1998,2001,2002,2003,2007,924,925,926,927,928,929,930,933,934,935,936,937,938,939,940,941,942,943,947,948,949,950,951,952,953,954,956,957,958,959,960,961,963,964,966,967,968,969,971,972,973,975,976,977,978,980,981,984,985,986,988,990,992,993,994,996,997,1001,1002,1004,1005,1006,1009,1010,1012,1015,1017,1018,1030,1034,1036,1043,1045,1046,1050,1051"
GLP,Guadeloupe,,"161,3364"
GMB,Gambia,African Region (AFRO),"188,198,653,3118"
GNB,Guinea-Bissau,African Region (AFRO),"123,394,405,416,1370,1387,1754"
GNQ,Equatorial Guinea,African Region (AFRO),"2622,2661,2671"
GRC,Greece,European Region (EURO),"810,811,812,2624"
GRD,Grenada,Region of the Americas (PAHO),
GRL,Greenland,,
GTM,Guatemala,Region of the Americas (PAHO),"339,340,341,342,354,355,356,357,366,367,368,369,2843"
GUF,French Guiana,,"2860,3075,3164,3363,3404,3405"
GUM,Guam,,
GUY,Guyana,Region of the Americas (PAHO),2866
HKG,"China, Hong Kong Special Administrative Region",,"248,251,254,255,257,259,260,263,264,276,410,411,412,415,677,678,789,909,911,914,919,1022,1037,1055,1089,3245,1038"
HMD,Heard Island and McDonald Islands,,
HND,Honduras,Region of the Americas (PAHO),"279,332,337,345,346,347,348,349,360,361,362,363,374,375,376,377,378,447,831,2855"
HRV,Croatia,European Region (EURO),
HTI,Haiti,Region of the Americas (PAHO),"1033,2017,2018,2019,2027,2029,2870"
HUN,Hungary,European Region (EURO),482
IDN,Indonesia,South-East Asia Region (SEARO),"84,522,1134,1168,1172,1181,1184,1196,1327,1329,1331,1332,1335,1340,1342,1345,1347,1348,1349,1353,1354,1355,1358,1366,1380,1392,1393,1394,1400,1405,1411,1417,1419,1425,1428,1436,1440,1447,1452,1456,1462,1478,1480,1501,1505,1507,1514,1519,1521,1522,1523,1525,1526,1527,1529,1533,1535,1538,1539,1542,1545,1546,1548,1549,1550,1553,1555,1557,1558,1559,1565,1571,1573,1578,1580,1582,1583,1587,1590,1628,1629,1633,1636,1639,1641,1643,1650,1651,1653,1656,1661,1664,1665,1666,1667,1668,1670,1672,1682,1683,1686,1689,1695,1696,1697,1698,1700,1702,1703,1704,1705,1706,1708,1714,1726,1736,1746,1750,1765,1781,1945,1971,1986,1992,1997,2013,2031,2043,2048,2051,2053,2069,2093,2121,2122,2125,2133,2138,2144,2148,2153,2160,2165,2172,2179,3224"
IMN,Isle of Man,,
IND,India,South-East Asia Region (SEARO),"69,102,126,129,131,134,137,140,145,236,479,708,792,1075,1079,1311,1313,1316,1326,1333,1379,1458,1460,1487,1566,3047,3141,3158,3436,3440,3445"
IOT,British Indian Ocean Territory,,
IRL,Ireland,European Region (EURO),537
IRN,Iran (Islamic Republic of),Eastern Mediterranean Region (EMRO),"9,14,523,2652,2655,2666,2672,2740,3261"
IRQ,Iraq,Eastern Mediterranean Region (EMRO),"10,329,469,982,987,989,1035,1443,1445,1448,1455,1470,1554,1657,1659,1663,1751,1757,2818,2824,2840"
ISL,Iceland,European Region (EURO),
ISR,Israel,European Region (EURO),"549,1829,2284,2302,2311,2319"
ITA,Italy,European Region (EURO),"2282,2283,2321,2535,3080,3082,2536"
JAM,Jamaica,Region of the Americas (PAHO),"1599,2884,3214"
JAP,,,
JEY,Jersey,,
JOR,Jordan,Eastern Mediterranean Region (EMRO),"2219,2559,2627,2632,2635,2638,2648,2650,2701,2804,2806,2815,2820,2822"
JPN,Japan,Western Pacific Region (WPRO),"1042,1044,1106,3151,3247,3347,3348,95,110,533,1164"
KAZ,Kazakhstan,European Region (EURO),"1362,2022"
KEN,Kenya,African Region (AFRO),"232,237,249,258,261,387,453,1208,1472,1567,1575,1576,1584,1591,1625,1798,2273,2324,2931,2977,3069,3093,3098,3102,3119,3150,3424"
KGZ,Kyrgyzstan,European Region (EURO),317
KHM,Cambodia,Western Pacific Region (WPRO),"270,300,442,1137,1262,1285,1299,1309,1321,1496,1502,1622,1766,1931,1969,2040,2041,2055,2058,2094,2102,2106,2134,2136,2163,2167,2170,2171,2173,2174,2224"
KIR,Kiribati,Western Pacific Region (WPRO),
KNA,Saint Kitts and Nevis,Region of the Americas (PAHO),
KOR,Republic of Korea,Western Pacific Region (WPRO),"619,1105,1135,2747,2751,2753,2756,2759,2760,2762,2763,2764,2767,2772,2773,2776,2778,2779,2781,2782,2785,2788,2789,2791,2830,2837,3170,3251,3349"
KWT,Kuwait,Eastern Mediterranean Region (EMRO),"2348,2597,2816"
LAO,Lao People's Democratic Republic,Western Pacific Region (WPRO),"93,1138,1605,1608,1612,2821,2851,2879,2899,3408"
LBN,Lebanon,Eastern Mediterranean Region (EMRO),"2639,3062,3306"
LBR,Liberia,African Region (AFRO),"4,12,72,107,228,302,539,543,712,861,1049,1054,1056,1059,1061,1064,1068,1076,1171,1174,1371,1732,1735,1843,2368,2371,2373,2375,2378,2381,2385,2389,2393,2396,2400,2402,2405,2409,2411,2414,2417,2420,2423,2426,2429,2432,2435,2438,2441,2444,2447,2450,2453,2456,2459,2462,2465,2468,2471,2474,2477,2481,2485,2489,2493,2497,2501,2505,2509,2513,2517,2521,2527,2958,3042,3064,3116"
LBY,Libya,Eastern Mediterranean Region (EMRO),
LCA,Saint Lucia,Region of the Americas (PAHO),2939
LIE,Liechtenstein,,
LKA,Sri Lanka,South-East Asia Region (SEARO),"351,1277,3068"
LSO,Lesotho,African Region (AFRO),490
LTU,Lithuania,European Region (EURO),
LUX,Luxembourg,European Region (EURO),
LVA,Latvia,European Region (EURO),
MAC,"China, Macao Special Administrative Region",,3246
MAF,Saint Martin (French Part),,"2356,3366"
MAR,Morocco,Eastern Mediterranean Region (EMRO),524
MCO,Monaco,European Region (EURO),
MDA,Republic of Moldova,European Region (EURO),
MDG,Madagascar,African Region (AFRO),"417,446,460,489,498,501,834,835,836,840,841,846,848,1488,1733,2689,2692,2794,2807,3003,3083,3084,3090,3096,3100,3206,3441"
MDV,Maldives,South-East Asia Region (SEARO),"1489,2886"
MEX,Mexico,Region of the Americas (PAHO),"98,1817,1819,1821,1825,2119,2332,2335,2350,2718,2845,3227,3380"
MHL,Marshall Islands,Western Pacific Region (WPRO),
MKD,North Macedonia,European Region (EURO),2066
MLI,Mali,African Region (AFRO),"35,44,56,74,171,189,196,1084,1087,1093,1158,1246,1372,1388,1403,1407,1409,1416,2383,2387,2391,2394,2398,2533,3337"
MLT,Malta,European Region (EURO),
MMR,Myanmar,South-East Asia Region (SEARO),"1684,2853,3287"
MNE,Montenegro,European Region (EURO),
MNG,Mongolia,Western Pacific Region (WPRO),"103,105,109,1363"
MNP,Northern Mariana Islands,,
MOZ,Mozambique,African Region (AFRO),"88,106,227,230,238,242,243,245,247,266,269,272,306,380,825,999,1031,1122,1159,1178,3115,3211"
MRT,Mauritania,African Region (AFRO),"334,918,931,1373,1389,2211,3407"
MSR,Montserrat,,
MTQ,Martinique,,"2861,2887,2929,2933,3365"
MUS,Mauritius,African Region (AFRO),"1468,1485"
MWI,Malawi,African Region (AFRO),"239,456,809,819,854,860"
MYS,Malaysia,Western Pacific Region (WPRO),"76,81,83,90,216,217,220,221,222,226,285,406,407,408,418,2575,2620,3110,3248"
MYT,Mayotte,,"1467,1484,3255"
NAM,Namibia,African Region (AFRO),"430,1530,3112"
NCL,New Caledonia,,
NER,Niger,African Region (AFRO),"40,49,61,199,457,646,661,692,723,814,833,922,1202,1357,1374,1390,1464,1471,1744,1807,2011,2227,2737,2742,2792,2983,2991,3041,3179,3185,3276"
NFK,Norfolk Island,,
NGA,Nigeria,African Region (AFRO),"16,23,24,25,26,28,29,30,36,41,45,57,91,431,527,752,753,1179,1243,1276,1449,1459,1476,1593,1595,1742,1773,1793,1801,1806,1895,1896,1987,2012,2111,2124,2162,2479,2483,2487,2491,2495,2499,2503,2507,2511,2515,2519,2523,2529,2730,2877,2960,2984,3028,3059,3065,3066,3105,3107,3121,3127,3131,3159,3178,3203,3219,3275,3299,3301,3334,3355,3410,3442"
NIC,Nicaragua,Region of the Americas (PAHO),"282,333,336,343,344,358,359,370,371,372,373,448,2885"
NIU,Niue,Western Pacific Region (WPRO),
NLD,Netherlands,European Region (EURO),"401,494,514,518,535,536,965,1748,2081,2082,2640,2643,3126,3195"
NOR,Norway,European Region (EURO),"665,673,696,716,2083,2084"
NPL,Nepal,South-East Asia Region (SEARO),"119,229,235"
NRU,Nauru,Western Pacific Region (WPRO),
NZL,New Zealand,Western Pacific Region (WPRO),"1827,3249"
OMN,Oman,Eastern Mediterranean Region (EMRO),"512,2338,2543,2703,2706,2757,2859,2995,3078,3095,3125,3216,3226"
PAK,Pakistan,Eastern Mediterranean Region (EMRO),"288,778,790,1685,1690,1727,2014,2015,2016,2099,2108,3001,3197,3269,3315,3321"
PAN,Panama,Region of the Americas (PAHO),"496,2848,2856,2924,2925,3201"
PCN,Pitcairn,,
PER,Peru,Region of the Americas (PAHO),"274,281,440,684,1999,2940,2962"
PHL,Philippines,Western Pacific Region (WPRO),"73,82,89,115,998,1250,1255,1259,1787,1809,2715,2783,2784,3250,3296,3307"
PLW,Palau,Western Pacific Region (WPRO),
PNG,Papua New Guinea,Western Pacific Region (WPRO),"2943,3153,3221"
POL,Poland,European Region (EURO),
PRI,Puerto Rico,,2862
PRK,Democratic People's Republic of Korea,South-East Asia Region (SEARO),1287
PRT,Portugal,European Region (EURO),"2206,2686,2813"
PRY,Paraguay,Region of the Americas (PAHO),"1710,1719,1723,2844"
PSE,Palestine,Eastern Mediterranean Region (EMRO),"223,2320,3343"
PYF,French Polynesia,,2907
QAT,Qatar,Eastern Mediterranean Region (EMRO),"2204,2217,2313,2316,2330,2337,2343,2347,2353,2683,2712,2728,2746,2754,2909,2955,2971,3032,3039,3050,3338,3369"
REU,Réunion,,"1454,1466,1483,1490,3132,3259"
ROU,Romania,European Region (EURO),"112,113,114,117,122,1396"
RUS,Russian Federation,European Region (EURO),"304,328,455,530,1361,2025"
RWA,Rwanda,African Region (AFRO),"143,151,200,290,295,324,471,475,540,843,852,858"
SAU,Saudi Arabia,Eastern Mediterranean Region (EMRO),"513,517,546,551,555,562,569,666,674,697,2203,2216,2220,2231,2232,2233,2234,2260,2261,2262,2266,2269,2270,2272,2276,2277,2279,2281,2285,2289,2291,2292,2293,2294,2295,2296,2298,2299,2300,2303,2305,2307,2308,2309,2312,2314,2317,2318,2326,2328,2333,2339,2340,2345,2351,2358,2360,2361,2558,2566,2580,2585,2589,2591,2593,2602,2608,2611,2614,2653,2657,2662,2663,2664,2667,2668,2670,2676,2679,2684,2685,2691,2693,2695,2697,2700,2702,2705,2709,2713,2720,2721,2722,2724,2727,2732,2733,2734,2736,2738,2739,2743,2745,2749,2755,2758,2761,2766,2771,2775,2780,2793,2795,2796,2798,2799,2800,2801,2802,2805,2808,2809,2812,2817,2819,2823,2829,2831,2834,2847,2858,2875,2881,2902,2910,2911,2913,2914,2916,2918,2937,2942,2946,2956,2967,2968,2970,2973,2976,2980,2982,2987,2988,2992,2993,2996,2997,3006,3009,3011,3023,3031,3038,3048,3056,3058,3061,3063,3072,3077,3085,3094,3104,3114,3149,3176,3187,3190,3198,3205,3220,3223,3233,3238,3254,3258,3271,3273,3288,3298,3305,3328,3335,3359,3373,3382,3396,3421,3428,3437"
SDN,Sudan,Eastern Mediterranean Region (EMRO),"326,386,388,397,409,413,419,421,422,423,433,506,1008,1024,1197,1198,1199,1201,1204,1205,1207,1209,1210,1212,1215,1216,1223,1229,1235,1266,1280,1293,1412,1415,1422,1446,1461,1473,1494,1517,1537,1572,1601,1611,1669,1671,1673,1676,1687,1699,1797,2212,2214,2222,2354,3182,3303,3314,3318,3400"
SEN,Senegal,African Region (AFRO),"11,32,124,201,402,781,871,872,875,879,882,887,888,1240,1241,1286,1288,1296,1304,1315,1323,1350,1352,1375,1391,1397,1747,2008,2128,2525,2530,2811,3415"
SGP,Singapore,Western Pacific Region (WPRO),"428,521,667,675,698,1014,1019,1065,1066,1067,3256"
SGS,South Georgia and the South Sandwich Islands,,
SHN,Saint Helena,,
SJM,Svalbard and Jan Mayen Islands,,
SLB,Solomon Islands,Western Pacific Region (WPRO),
SLE,Sierra Leone,African Region (AFRO),"75,77,85,96,184,208,213,320,467,491,1060,1069,1187,1772,2047,2184,2185,2190,2194,2201,2369,2372,2376,2379,2382,2386,2390,2397,2403,2406,2412,2415,2418,2421,2424,2427,2430,2433,2436,2439,2442,2445,2448,2451,2454,2457,2460,2463,2466,2469,2472,2475,2478,2482,2486,2490,2494,2498,2502,2506,2510,2514,2518,2522,2528,3322"
SLV,El Salvador,Region of the Americas (PAHO),"338,353,365,822,828,832,2842,2872"
SMR,San Marino,European Region (EURO),
SOM,Somalia,Eastern Mediterranean Region (EMRO),"205,212,214,262,381,392,425,465,520,597,755,780,785,1378,1497,1552,1592,1626,2267,2274,2323,3123,3129,3282"
SPM,Saint Pierre and Miquelon,,
SRB,Serbia,European Region (EURO),2063
SSD,South Sudan,African Region (AFRO),"2288,2322,2649,2688,2959,3376"
STP,Sao Tome and Principe,African Region (AFRO),
SUR,Suriname,Region of the Americas (PAHO),"2832,2836,3029"
SVK,Slovakia,European Region (EURO),
SVN,Slovenia,European Region (EURO),
SWE,Sweden,European Region (EURO),"2087,2088,2932"
SWZ,Eswatini,African Region (AFRO),
SXM,Sint Maarten (Dutch part),,2904
SYC,Seychelles,African Region (AFRO),"1469,1486,3086,3089"
SYR,Syrian Arab Republic,Eastern Mediterranean Region (EMRO),"2331,2336,2344,2352,2598,3055"
TCA,Turks and Caicos Islands,,
TCD,Chad,African Region (AFRO),"31,37,46,58,87,92,187,286,622,628,634,645,650,659,706,707,709,711,714,1074,1121,1183,1220,1224,1225,1227,1232,1233,1234,1249,1256,1260,1282,1598,1745,1815,1960,2010,2045,2095,2096,2157,2229,3008,3323,3402"
TGO,Togo,African Region (AFRO),"52,64,125,165,166,168,172,190,202,1070,1574,1581,1589,1600,2919,3016,3021,3324,3391,3420"
THA,Thailand,South-East Asia Region (SEARO),"94,1112,1114,1115,1116,1128,1132,1140,1147,1150,1153,1163,1169,1173,1175,1230,1236,1237,1238,1320,1398,1399,1401,1408,1424,1495,1541,1556,2774,2786,2878,2979,3345"
TJK,Tajikistan,European Region (EURO),"97,99,177,1966,1967,1994,2023"
TKL,Tokelau,,
TKM,Turkmenistan,European Region (EURO),2024
TLS,Timor-Leste,South-East Asia Region (SEARO),"1261,1264,1265,1267,1270"
TON,Tonga,Western Pacific Region (WPRO),3332
TTO,Trinidad and Tobago,Region of the Americas (PAHO),2901
TUN,Tunisia,Eastern Mediterranean Region (EMRO),"2275,2315,3252"
TUR,Turkey,European Region (EURO),"1395,1430,1431,1432,1434,1435,1437,1438,1444,1543,2065,2681"
TUV,Tuvalu,Western Pacific Region (WPRO),
TWN,Taiwan,Western Pacific Region (WPRO),"298,299,1000,1011,1021,1032,1052,1092,2542,2665"
TZA,United Republic of Tanzania,African Region (AFRO),"51,63,147,211,252,292,601,704,844,853,859,870,1616,1627,2810,2826,2839,3111,3295"
UGA,Uganda,African Region (AFRO),"111,182,284,296,301,318,331,557,558,559,561,563,565,566,567,568,570,572,573,575,576,577,578,579,580,581,582,584,585,586,587,588,590,591,592,593,594,595,598,600,602,604,606,608,610,613,615,616,630,995,1441,1451,1588,1647,1649,1678,1680,1712,1799,2035,2070,2176,2177,2178,2180,2181,2187,2200,2207,2208,2210,2213,2215,2218,2221,2678,2687,2731,2951,3087,3092,3097,3265,3357"
UKR,Ukraine,European Region (EURO),"1916,1917,1920,2803,3446"
UMI,United States Minor Outlying Islands,,
URY,Uruguay,Region of the Americas (PAHO),"2898,2908"
USA,United States of America,Region of the Americas (PAHO),"70,466,468,470,477,516,545,731,735,736,737,738,739,740,742,743,744,745,746,747,748,751,845,850,855,863,866,867,873,876,880,885,1203,1561,1632,1816,1818,1820,1824,2115,2126,2188,2191,2531,2633,2636,2642,2645,2716,2750,2892,2893,2915,2941,2949,2966,3013,3053,3228,3422,3434"
UZB,Uzbekistan,European Region (EURO),2026
VAT,Holy See,,
VAT,Vatican City,,
VCT,Saint Vincent and the Grenadines,Region of the Americas (PAHO),2903
VEN,Venezuela (Bolivarian Republic of),Region of the Americas (PAHO),"104,330,1231,2846,2891,3317,3444"
VGB,British Virgin Islands,,
VIR,United States Virgin Islands,,2880
